,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
エムシーディースリー株式会社,Webアプリ・サービス運営,ソフトウェア販売,東京都,東京都渋谷区恵比寿１丁目１８番１４号,4: 50人以上~300人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.mcdata.co.jp/,http://www.mcdata.co.jp/contact/,03-6435-6262,ml.info-press@mcdata.co.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
シナジーマーケティング株式会社,クラウド系/SaaS/ASPサービス,"Webマーケコンサル,デジタル系コンテンツ,Web制作,ITコンサル,総合広告代理店",大阪府,大阪府大阪市北区堂島１丁目６番２０号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://corp.synergy-marketing.co.jp/company,,06-4797-2300,,,,送信不可,, お問い合わせフォーム無し,
ＢＡＳＥ株式会社,Webアプリ・サービス運営,その他金融関連サービス,東京都,東京都港区六本木３丁目２番１号,4: 50人以上~300人未満,4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,https://binc.jp/,https://binc.jp/contacts,03-6416-5450,,,,送信成功,2026/07/15,,
ＬＩＮＥ　ＷＯＲＫＳ株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区桜丘町１番１号渋谷サクラステージＳＨＩＢＵＹＡタワー２３階,4: 50人以上~300人未満,4: 50億円以上~150億円未満,3: 10億円以上~50億円未満,https://line-works.com/aboutus/,https://line.worksmobile.com/jp/home/supportpopup,,,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社ＧＥＮＺ,Webアプリ・サービス運営,"ITコンサル,人材派遣",東京都,東京都千代田区神田駿河台２丁目３番１１号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,http://www.genz.jp/company-profile/,https://www.genz.jp/contact/,03-5244-4711,info@genz.jp,,,送信成功,2026/07/15,,
株式会社ＩＶＲｙ,Webアプリ・サービス運営,,東京都,東京都港区三田３丁目５番１９号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://ivry.jp/company/,,050-3204-4610,support@ivry.jp,,,送信成功,2026/07/15,,
ポスタス株式会社,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都中央区築地５丁目４番１８号,4: 50人以上~300人未満,3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://www.postas.co.jp/corporate/,https://www.postas.co.jp/inquiry/,,,,,送信成功,2026/07/15,,
株式会社インフォマティクス,Webアプリ・サービス運営,受託開発,神奈川県,神奈川県川崎市幸区大宮町１３１０番地,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,http://www.informatix.co.jp/,https://www.informatix.co.jp/contact-us/,,info@informatix.co.jp,,,送信成功,2026/07/15,,
株式会社トラストバンク,Webアプリ・サービス運営,"セミナー,その他IT,イベント",東京都,東京都品川区上大崎３丁目１番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.trustbank.co.jp/about/,https://www.trustbank.co.jp/page-contact.php,03-5784-1089,,,,送信成功,2026/07/15,,
株式会社コンカー,Webアプリ・サービス運営,,東京都,東京都千代田区大手町１丁目２番１号,4: 50人以上~300人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.concur.co.jp/about,https://www.concur.co.jp/contact,03-6737-4300,,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社カカオピッコマ,Webアプリ・サービス運営,"書籍・メディア販売,デジタル系コンテンツ",東京都,東京都港区麻布台１丁目３番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.kakaopiccoma.com/about,http://www.kakao.co.jp/contact/#person,03-5719-3036,feedbackjapan@kakao.com,,,送信不可,,メールに遷移・Googleフォーム,
株式会社シーエスアイ,Webアプリ・サービス運営,"ソフトウェア販売,その他IT,受託開発",北海道,北海道札幌市白石区平和通１５丁目北１番２１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.csiinc.co.jp/company/profile/,https://www.csiinc.co.jp/inquiry/,011-861-1500,Webmaster@csiinc.co.jp,,,送信成功,2026/07/15,,
株式会社ビットキー,クラウド系/SaaS/ASPサービス,"Webアプリ・サービス運営,その他機械",東京都,東京都中央区京橋３丁目１番１号９階,4: 50人以上~300人未満,5: 150億円以上,4: 50億円以上~300億円未満,https://bitkey.co.jp/about/,https://bitkey.co.jp/contact/,,,,,送信成功,2026/07/15,,
株式会社日立ハイテク九州,医療機器,"その他製造,試験機,化学機器,精密機器",福岡県,福岡県大牟田市大字手鎌１８９２番地１,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.hitachi-hightech.com/hhq/about/corporate/profile.html,https://www8.hitachi.co.jp/inquiry/hitachi-hightech/hhq/about/general/form_input.jsp,0944-56-8520,,,,送信成功,2026/07/15,,
株式会社ＺＥＡＬＳ,Webアプリ・サービス運営,"Webマーケコンサル,総合広告代理店",東京都,東京都目黒区下目黒１丁目８番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://careers.zeals.ai/about,http://zeals.co.jp/contact/?request,,info@zeals.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
Ｕｂｅｒ　Ｅａｔｓ　Ｊａｐａｎ合同会社,Webアプリ・サービス運営,中食,東京都,東京都港区六本木１丁目９番１０号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://www.ubereats.com/jp/uber-one?srsltid=AfmBOoqTNjFmBTJbQ6Q1MKC8SBeq_FJe4oAzx-C5_OaODN2uBi6WKuKF,,,,,,送信不可,, お問い合わせフォーム無し,
株式会社ＣＡＭＰＦＩＲＥ,Webアプリ・サービス運営,その他金融関連サービス,東京都,東京都渋谷区猿楽町１８番８号,4: 50人以上~300人未満,4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,https://campfire.co.jp/about/,https://campfire.co.jp/contact/,03-5468-7001,,,,送信成功,2026/07/15,,
株式会社ＮＥＦコミュニケーションズ,Webアプリ・サービス運営,,愛知県,愛知県名古屋市中区栄４丁目１番１号中日ビル１２Ｆ,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://nef-com.jp/,https://nef-com.jp/contact.html,052-228-7620,,,,送信成功,2026/07/15,,
株式会社ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,Webアプリ・サービス運営,"その他人材,ITコンサル,イベント,人材派遣",東京都,東京都渋谷区渋谷２丁目２２－３渋谷東口ビル６Ｆ,4: 50人以上~300人未満,3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://twostone-s.com/about/company/,https://twostone-s.com/contact/,03-6416-5564,,,,送信成功,2026/07/15,,
ｍａｔｓｕｒｉ　ｔｅｃｈｎｏｌｏｇｉｅｓ株式会社,クラウド系/SaaS/ASPサービス,不動産賃貸・仲介,東京都,東京都新宿区高田馬場３丁目１８番３号,4: 50人以上~300人未満,,4: 50億円以上~300億円未満,https://www.matsuri.tech/,https://docs.google.com/forms/d/e/1FAIpQLScbfawXQhty4YQWwOiegGovfLx3w73hzUaLpPAK6KMaqxQFaQ/viewform,,info@matsuri.tech,,,送信不可,,メールに遷移・Googleフォーム,
株式会社ココナラ,Webアプリ・サービス運営,その他サービス,東京都,東京都渋谷区桜丘町２０番１号,4: 50人以上~300人未満,3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://coconala.co.jp/company/,https://coconala.co.jp/contact,03-6417-3390,,,,送信成功,2026/07/15,,
テックタッチ株式会社,Webアプリ・サービス運営,その他IT,東京都,東京都中央区銀座８丁目１７番１号ＰＭＯ銀座Ⅱ５階,4: 50人以上~300人未満,3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://techtouch.jp/about#company,https://techtouch.jp/contact/,,support@techtouch.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
コムチュアネットワーク株式会社,Webアプリ・サービス運営,"ITコンサル,ITインフラストラクチャー,Webアプリ・サービス運営",東京都,東京都品川区大崎１丁目１１番２号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,http://www.comture-net.com,http://www.comture.com/inquiry/,03-5745-9706,,,,送信成功,2026/07/15,,
株式会社コジマプロダクション,ゲーム開発,,東京都,東京都港区港南１丁目２番７０号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.kojimaproductions.jp/ja/terms-of-use,http://www.kojimaproductions.jp/en/contact-us,,contact@kojimaproductions.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社ＪＤＳＣ,Webアプリ・サービス運営,"その他IT,受託開発",東京都,東京都文京区小石川１丁目４－１,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://jdsc.ai/,https://jdsc.ai/contact/,,info@jdsc.ai,,,送信不可,,営業禁止の記載あり,
クラウドストライク合同会社,情報セキュリティ,,東京都,東京都港区赤坂５丁目３番１号赤坂Ｂｉｚタワー２９階,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://www.crowdstrike.jp,https://www.crowdstrike.jp/endpoint-security-products/falcon-platform/,,japan.sales@crowdstrike.com,,,送信不可,, お問い合わせフォーム無し,提案、営業に関するフォームなし
株式会社Ｒｅｌｉｃ,クラウド系/SaaS/ASPサービス,"経営コンサル,Webアプリ・サービス運営",東京都,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１９階,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://relic.co.jp/company/overview/,https://relic.co.jp/contact/,,coordimate-support@relic.co.jp,,,送信不可,,営業禁止の記載あり,
株式会社Ｍｉｃｏ,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,大阪府,大阪府大阪市北区大深町６番３８号グラングリーン大阪北館ＪＡＭＢＡＳＥ５階ＪＡＭ－ＯＦＦＩＣＥ５－Ａ・５－Ｂ,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://mico-inc.com/company/profile/,https://www.micoworks.jp/contact/,,info-micocloud@micoworks.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
株式会社Ｅｄｅｙａｎｓ,Webアプリ・サービス運営,ビル清掃・ハウス清掃,大阪府,大阪府大阪市中央区瓦町１丁目３－２ヒガシビル３０２号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://corporate.edeyans.com/company/,https://corporate.edeyans.com/contact/,,,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
株式会社ＳＱＵＥＥＺＥ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他IT,その他外食",北海道,北海道北広島市栄町１丁目５２番,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://squeeze-inc.co.jp/company/,https://squeeze-inc.co.jp/contact/,03-6455-4641,info@squeeze-inc.co.jp,,,送信成功,2026/07/15,,
ユニファ株式会社,Webアプリ・サービス運営,"その他サービス,その他教育業界",東京都,東京都千代田区永田町２丁目１７番３号住友不動産永田町ビル１階,4: 50人以上~300人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://unifa-e.com/company,https://unifa-e.com/contact/,052-212-5717,,,,送信成功,2026/07/15,,
株式会社クーリエ,Webアプリ・サービス運営,"ITコンサル,その他広告・制作",東京都,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー９階,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.courier.jpn.com/company/,https://www.courier.jpn.com/contact/,03-6409-6045,info@courier.jpn.com,,,送信成功,,,
株式会社Ｈａｃｏｂｕ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他機械",東京都,東京都港区芝５丁目２９番１１号,4: 50人以上~300人未満,3: 10億円以上~50億円未満,3: 10億円以上~50億円未満,https://hacobu.jp/,https://delivery.movo.co.jp/form.html,03-6452-8837,info@movo.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
株式会社ＴａｂｌｅＣｈｅｃｋ,Webアプリ・サービス運営,受託開発,東京都,東京都中央区銀座２丁目１５番２号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://www.tablecheck.com/ja/japan,https://corp.tablecheck.com/ja/join/features/contactless-pay/,,,,,送信不可,, お問い合わせフォーム無し,提案、営業に関するフォームなし
ＰＲＯＮＩ株式会社,Webアプリ・サービス運営,"その他IT,ITコンサル",東京都,東京都品川区東五反田３丁目２０番１４号住友不動産高輪パークタワー１２Ｆ,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://www.proni.co.jp/company/outline/,https://www.unilabo.jp/contact/,03-5475-5350,info@unilabo.jp,,,送信成功,2026/07/15,,
ＲＥＧＡＩＮ　ＧＲＯＵＰ株式会社,Webアプリ・サービス運営,,東京都,東京都港区芝公園２丁目６番３号芝公園フロントタワー,4: 50人以上~300人未満,"0: 5,000万円未満",4: 50億円以上~300億円未満,https://www.regain-group.com/,https://www.showtalk.co.jp/contact_document/,03-6777-0821,,,,送信不可,,文字数制限,
